id,org,sentiment_type,tweet
6552,Fortnite,0,EPIC NEEDS TO FIX THIS ASAP @EpicGames @FortniteStatus  @FortniteGame pic.twitter.com/rG20GVkUgM
786,ApexLegends,0,"@PlayApex Hello. I encounter some strange quest timers on my Apex account since the last update. Treasure Packs : 120hours, Daily : 4days, lost treasure mission 1week(maybe normal this one i dont know). Can you help (Game files already checked pic.twitter.com/IUvEzBRJxE"
11740,Verizon,0,omfg that's why I don't get calls.....
11803,Verizon,0,the broken experience of attempting to  . RhandlerR . RhandlerR pic.twitter.com/dxrg2QOenb
10059,PlayerUnknownsBattlegrounds(PUBG),0,Jdjdjd everyone getting annoyed when playing with fire like played in pubg.
10762,RedDeadRedemption(RDR),0,Can we all agree that red-red-green is boring?
8555,NBA2K,0,
11698,Verizon,0,"The proposed fines of AT&T, Sprint, T-Mobile and Verizon follow years of reports that the companies improperly disclosed subscribers' real-time geolocation information to unknown parties cnn.it/32CUn0Q"
5870,HomeDepot,0,"quik<unk>: destroying capitalism starting with home depot, slow burn 100k words"
6765,Fortnite,0,Fortnite is doing world premieres on mobile now? I'm fucking done
11685,Verizon,0,Hey @verizonfios @verizon<unk> Why rate my internet speed 360Mbps low\327Mbps up when only pay for 1Gig symmetric services?. <unk>. Test is performed over a wired cable with CAT8 SFTP 40GB cables.. speedtest.net/result/c/7cf7b…
10911,TomClancysGhostRecon,0,"manager from also good game started kicking me out as network showing an error mountain 00015,can't change the missions etc. Can someone help with that???"
3792,Cyberpunk2077,0,I was about to say I was spinning this game for a minute.
5195,GrandTheftAuto(GTA),0,<unk> be mad as fuck if the next GTA in Chicago bro
6623,Fortnite,0,@ fortnite must have forgotten about console when the new update came out. I have been lots of 1v1 due to the fact of delay and the new console editing system. Like this post if you think @ fortnite forgot about console (console players)
11460,TomClancysRainbowSix,0,@Rainbow6Game @UbisoftSupport OMG THIS IS THE 4TH TIME I GOT KICK/DISCONNECTED FROM A GAME AND I LOST ELO IF I DONT GET DISCONNECTED I WIN A GAME AND DONT EVEN GET ELO GIVE ME MY 200 LOST ELO BACK!!!!!!!
4950,GrandTheftAuto(GTA),0,man i put in a support ticket w rockstar because i can't stay connected wi gta online and they closed it without even responding to messages
5267,Hearthstone,0,I @PlayHearthstone and can'i t pass Astromancer Arwyn 6 / 7 cuz no Holy Spirit Smite now does 3 damage and has not 2 : (
4802,GrandTheftAuto(GTA),0,Rockstar really milked GTA V for 3 FUCKING GENERATIONS of it. THAT SHIT WAS ON SO PLAYSTATION<unk> AND ONLY BE ON A END and how Nina’s just started developing gta IV.
6166,FIFA,0,"when i say UN, FIFA, and any other institution that comes out of UN are cartel, Scam people call me name...Wait and see what is coming out next week ..."
6321,FIFA,0,Running out of things to do. Tried Playing Fifa. Gets boring. Tried Watching a film. Can’t concentrate on watching one haha. Tried working out in the Garden. Currently have a bad back. Suggestions are taken?
6756,Fortnite,0,"god, why won't my lil bro shut up and talk about this stupid fortnightly bullshit. all he's doing is 1v1 people instead of actually doing the BR shit. why"
115,Amazon,0,Plague without Corruption is
3635,Cyberpunk2077,0,"i wouldn't see my blog tweet cause i muted all variations the cyberpunk 2077.. until you're passionate about it, user its real name so i don't have to see it please"
2957,Dota2,0,"Damn it, We blackout when playing Dota 2."
523,ApexLegends,0,The new favourite bloodhound skin for season entry 6 he is fucking as haaard. @PlayApex @Respawn
